id,text,label
36,"RT @Nostradamnisuck: Mary had a juicy clam,
Was always good to go
Little touch of boated man
And she began to flow

#HallmarkNostraCollecti&#8230;",1
37,#RayRice is still a bitch. @NFL got this one wrong. Women fans should be livid! #NoExcuses,1
38,RT @LILBTHEBASEDGOD: I only eat gluton free pussy - Lil B,1
39,"RT @iAmKilo_Bae: Its 2 things in this world that I aint seen, thats a UFO &amp; a bitch that I need !!",1
40,I think its funny how hoes talk bout being faithful.,1
41,My bf @iamthedannibal loves crows. Thought he might enjoy the last tweet!,2
42,"RT @vodkapapixo: ""@Weed_Cloudz: ""6 God"" by Drake is trash"" thank you",1
43,But Carl is a bitch &#128526;,1
44,RT @PluggedInPiff: Green azz niggas!!!! &amp; yall new bitches condone dat sucka activity dat why they keep doin it!!!,0
45,A lotta u niccas ain't who u say u is!,1
46,We need to start having a fantasy team of UT hoes lol,1
47,"RT @kristajayMFC: No mom. Im not ""dramatic /immature"" i just have fucking mental problems and youre a bitch and a cunt.",0
48,Promises were made bitch . You are now my bxtch,1
49,RT @joshuaxallen_: #tbt Halloween 2011 a spoopy hoe and her pimp daddy http://t.co/oQVP80EGhx,1
50,@JZolly23 @HannahKubiak Everybody knows that bitches love mullets #Pantiedropin,1
51,This hoe car smell like nigga let off a sweet potato bomb in her shit!,1
52,"No half-breed spic has any right to say anything to any Anglo ever, and should be killed for doing so.",0
53,Lmfao all bitches is hoes then,1
54,RT @BirdGang316: If you a bird throw it up #birdgang #EaglesNation,2
55,Darkies DGAF! RT @Maxin_Betha @80sbaby4life gotta chill wit his yellow #4thofJulyFly outfit man RT @dominicanraf http://t.co/uImF6sDI,2
56,Got uh bitch dat set it off like Jada Pickett &#128130;&#128176;&#128176;&#128293;&#128299;&#128299;,1
57,RT @johntherealman: So I see no ones participating in the twitter purge #pussies #ihopeitssuposetobetonight,1
58,"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!",1
59,@_shegotthis yellow rice black beans and pork chop sis,2
60,Dumb ass student gets trapped in a giant #pussy sculpture http://t.co/5IzMLkvZZV #germany #wtf #funny #hornymen,1
61,RT @GuysPIctures: Once bitches get the D... http://t.co/deWE9ttUz5,1
62,RT @jessielee1028: @Hawkdaddy300 @GavinMHawks21 @Ur_Boy_George yeah I don't think that's okay...Fuckin drop it. You shouldn't even joke abo&#8230;,1
63,@WyattNuckels I'm not fake bitch meet me after school then nigga,1
64,@reptar_ray nigglet send me the pictures,1
65,RT @DopeChubbyChick: You was so eager to be a hoe you didn't even read RT @JennnVeee: &#8220;@DJZeeti: twitpic a selfie wearing a leotard&#8221; http:/&#8230;,1
66,@Myalynn__x3 mhm bitch don't play with your life &#128299;,1
67,RT @SaertjeMirror: I am a zebra amongst the sheep.,2
68,Oreo milkshakes will forever remind me of @jay_ibarra95,2
69,@jerseyzbest74 Aye hoe,1
70,"RT @IKeepitRealer: ChrisBrown a bitch 4 hittin a Woman
JayZ a bitch 4 lettin a woman hit him
bitches needa make up ya mind &#128134;
Yah want yah a&#8230;",1
71,"Told that hoe to suck it up, she got lips like rubber ducks",1
72,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",2
73,@YungCofGOA @12YearsAHaitian need to start mcbob because Williams only shoot let him play with bird,2
74,RT @iBYEpassDesHOES: Why do hoes always want to come bacc when they didn't have to leave in the first place?,1
75,RT @maNIJEEtwa_: Jackie weird .. like bitch hang with ppl ya age&#128514;,1
76,Catch up with the Lingo itty bitty bitch,1
77,RT @saramariewelch: Been my main nigguh since digital camera selfies @thorpe_emily http://t.co/XiQiRbQ7mP,0
78,@PussyBeezus_ whatever hoe,1
79,"RT @OnDave_: ""@WhereYoHussleAt: @CiddyP_60 ion like him he annoying &#128514; I thincc he knows I don't too""

That nigga a supa fag on Dave",1
80,@khamillkilroy &#128514;&#128514; Shy Glizzy,2
81,Haha a private industry birthday is needed to all who have celebrated our bday the past month I can't wait for ours! I see you nig**s lol &#128513;,1
82,RT @Mids_areForkids: If a nigga talkin shit about me an you around sittin there quiet yous a fuckin bitch an I don't fucks with you real wr&#8230;,1
83,them jants be clutch for bedtime tho &#128514;&#128557;,2
84,the #genesis of my tna watching is so bad I can't even mock-live tweet it,1
85,pull up eat on that pussy and dip&#128166;&#128513;,1
86,"' Club solo 1 deep , fuck a valet cause I parked on the street , lordddd knows &#1041243; You can't trust these hoes ,... http://t.co/WcD3V5sej2",1
87,You girls needa stop with the edits. Damn near got catfished a week or two ago and the bitch keeps findin her way back&#128530;&#128548;&#128165;&#128299;&#128553;,1
88,So my dumb ass screams fuck the redskins in this big ass echo filled parking garage,1
89,@_PRAWDA_ dying? oh bitch. exit my mentions. her last era was huge. #1 album. #1 tour. golden globe (cont) http://t.co/gkuJXIaDep,1
90,RT @Noworriezzzz: Two hoes arguing bout who fucking who for x amount of money lol what,1
91,Want to cry cause of the girls at La fitness ... Imma bitch,1
92,&#8220;@thepizzafacts: Cute text: ey bitch come over for some pizza&#8221;@KellieNehls,1
93,Clown ass nigguh,1
94,Hit me with plans mah nigs,1
95,"RT @MaddieKreyKrey: I have to pretend like I'm a cold hearted bitch and cut you off in an instant without a second thought, when actually I&#8230;",1
96,"RT @youngscrap: I sent that bitch a smiley face, bitches love smiley faces &#128515;",1
97,"Just started my upgrade for the level 2 dark elixer drill! 1,500,000 elixer. That was a bitch to get.",1
98,RT @__Independentt: Why do these hoes think it's cute to take pictures kissing eachother ? #gaggggg,1
99,"RT @jaimescudi_: Niggaaaaaa, why these bitches trip so hard over a nigga? When will they realize they're gonna grow up &amp; regret the fool?",1
100,"Hello American people, my name is Eric Cantor and I am a lying piece of bird poo http://t.co/qJyuw4ox0O",2
101,@rachh_burkhart talkin bout the retard your sittin on,1
102,RT @tianaroseee_: Mary Jane my only bitch,1
103,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",2
104,Couldn't pull my nigga in ya wettest dreams hoe&#128526;,1
105,RT @UKnoMyNameBxtch: Y'all hoes need to get out more. There so much more to life than being a fuckin hater. Go get yours.,1
106,"RT @dixiealley: @TonyJRodriguez @WolfVanHalen Not a FOB fan nor in the know. But ""Fuck you fatty"" is a poor argument for anything after 5th&#8230;",1
107,RT @SAMMI_boyden: @jizcalifuh it's a metaphor you dumb fucking nigger @savanigga &#128514;&#128514;&#128525;&#128525;&#128069;&#128069;,1
108,@DanielM023 Hell na !! Hes a honky brah,1
109,i get what that girls point seems to be but colored people died during the holocaust and 9/11. ((if that's a picture of the holocaust idk)),2
110,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,2
111,Ain't been on this hoe all day,1
112,RT @TheCommonCock: Rt if you killed a bitch with your dick,1
113,RT @IamEvilTebow: Any man who orders a 6 inch sandwich at Subway is a pussy bitch. #Fact,1
114,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,2
115,"RT @Feenohmenal: @NotoriousBeep fifty bucks says a dense cunt thinks I say totes on the ""reg"" and unfollows b/c I said cheerleader. Countdo&#8230;",1
116,@BjwalkinRIVERS bro that hoe live,1
117,Get on your mutha fucking shit hoe.,1
118,RT @JoeBudden: I only be looking like I&#8217;m fucking bitches&#8230; I don&#8217;t tho,1
119,"This one night I was tripping off brownies I put my running shoes on and I was still in pjs, it was 2am ! http://t.co/UwmBpCOMNE",2
120,RT @OfficialKingDre: WTF did this bitch do? &#128514;&#128514; https://t.co/5BFuSp9bfn,1
121,I feel like a bitch that just got her heartbroken a day before her wedding,1
122,lost a couple online matches in nhl14. bitch hit me with her car. dad ate my pizza. just one of those days,1
123,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #OldYoung | german milf getting young and old cock in her pussy http://t.co/kXhzjwG4Ii",1
124,Can't stand bitch ass niggas.,0
125,"RT @boburnham: In the future, gay culture will be considered cool by America's teens and instead of wiggers there will be straggots.",0
126,"If yo nigga catch you cheating, and beat yo ass in front yo lil yeah, and lil yeah don't help. You still give him pussy ladies?",1
127,@Horsepower_Will naw nigga I got yo bitch tip toeing on my wooden floor !,1
128,@xoxox_jordan bitch shut up men are talking an @justinmiculka01 @ShaneQuintero,1
129,@JUSTLOVE_NOHATE @Me_NOindirect whole hoe outchea.......,1
130,@theshardyrebel cuz ur a sellout bitch fag,1
131,Young bitches talk about their new man ALLLL DAY....as if anyone is really intrested in that shit lol,1
132,RT @VersaceSilk: When you try to tell grandpa that 70s music was trash https://t.co/kYULQZoBC6,2
133,"WATCH - WE SALUTE THE VETS &#8211;Tuesday Jihadi Bitch Slaying: MK-48, M203&#8217;s Fired At Taliban Cockroaches During Firefight http://t.co/yFucN0Dwzq",1
134,dat mean u ugly hoe if only getting fuck doggie style &#128553;&#128553;&#128514; #plies hot nigga http://t.co/VsOqnUoh5V,1
135,RT @alexlundry: Charlie Baker!!!,2
136,@WendyDavisTexas your 30 second add just ruined it. A new low picking on a cripple,2
137,It makes me sad knowing this queers won't be down the street anymore. @TheOneMiss_Luu @OliviaLuu3 #SadTweet,1
138,@QUAN1T0 You retarded bruh lol,0
139,RT @NotoriousBM95: @Abel312_ @_WhitePonyJr_ @fallenloki Stick to hockey faggot. You're finished,1
140,"""Roberto you are one nasty hoe""",1
141,I guarantee there will b some hot twats out tonight in dresses with no leggings and open toed shoes.,1
142,"All these niggas with these "" Love Quote"" Pages are some pussies. Them niggas don't be living what they talking bout",1
143,RT @HamseAbdala: Charlie Sheen is a fucking boss http://t.co/WdE24QtbF6,1
144,RT @TrulyCece_: Deletin emojis off a nigga/bitch contact name cos they don't mean shit to you anymore &#128514;,1
145,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",1
146,&#8220;@TheManOnCampus: &#8220;@VSamone: @5HAWTYYY smoking skating twerking&#8221;I'm innat hoe&#8221;yas,1
147,Got damn the Lakers trash....,2
148,@ryancommakerry I'll actually kill that bitch,1
149,"RT @grannywinkle: girls, don't let a guy treat you like a yellow starburst

u are a pink starburst",2
150,&#8220;@royalriahh: Fake bitches I don't want your hugs&#8221;,1
151,&#8220;@kincade00: Rico be bored then a bitch&#8221;damn boy you watch me more than these hoes do,1
152,One of the great treasures of living in San Diego is ready access to Mexican Twinkies made with real sugar and Mexican Coca Cola.,2
153,RT @iGottFanss: Not all black girls are ghetto&#128530;,1
154,@tracieeeeee wha? me? i'm just waiting for showtime to bring back queer as folk.,2
155,""" black bottle &amp; a bad bitch """,1
156,"How do you go to sleep at night bitch, if I'm not the one sleeping with youuu!!&#128266;",1
157,@crocodile_Craig bitch y u ain't come to school,1
158,@NoreigaStacks he forced it lol mad bitches came to my mind thru every bar,1
159,"nobody understands me besides my day 1 bitch, please come back bc I'm tired of these females thinking they know me.",1
160,Unemployed niggas get the most bitches #FACTDONTARGUE,1
161,@dminion25 it's kinda screwed up that they were my guinea pigs but i was only experimenting on taste instead i got more interesting results.,2
162,"On my own shit, jus turned 18 bitches on dat ""now you grown"" shit &#128527;",1
163,RT @WillyWelfare: Its so damn hot in this bitch,1
164,@_RenaissanceJay pussy,1
165,@whizkhidK @RubyFakhoury @amberadamzzz forget that bitch and come get some of this white chocolate,1
166,"""call me Keyshawn Johnson cause im catchin erry hoe""",1
167,The ghetto thuged out version of tree of life coming soon...,1
168,"Me when folks try to come for me. &#128514; Ok hoe, cool! http://t.co/QduFiVVwHa",1
169,"Iv decided to grow my hair, i aint braiding it tho.......straight curls out dis bitch !",1
170,"RT @SportsCenter: A WILD one in the Bronx.
Yankees score 6 runs in bottom of 7th to take 8-7 lead over Red Sox.
The half-inning took THIRTY&#8230;",2
171,"&#8220;@_OneBadCreation: Boyfriends that'll eat yo pussy all day long 

Ur da real mvp &#128557;&#128079;&#8221; http://t.co/6dImZ71MPV",1
172,@sarahVICwood im going to murder that fucking cunt,0
173,Karma is a bitch? Well just make sure that bitch is beautiful..,1
174,@rikki_lovee bitch! Why can't I retweet your shit?! Lol love you! Hope you're having a great bday! (:,1
175,I just fell in love. Just saw the baddest bitch driving a 2014 e350 amg coupe &#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;,1
176,RT @UrbanCraziness: when you see a bitch nigga subtweet you http://t.co/vvhEhwDRWf,1
177,@CSNChicago Punk ass bitch. #BullsTalk,1
178,Okay. Here. IF #natitude is SOOOOO COOL&gt; How come you bitches don't call Obama by BO JINGO? That's what I thought. #gobuycomb,1
179,@KevinTheGee ok I just wanted to know bitch at 5:20 if you're not here I'm out,1
180,"Me: ""Mom, honestly, thank you for making me a bad bitch."" 
Mom: ""You've gotta stop.""",1
181,RT @thereal_EMandM: Yankee Doodle had a farm. Cotton farm,2
182,I'm bout to get this bitch a cell mate,1
183,@rebellious_midy lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me bitch please,1
184,"RT @GirlTalk26: ""Real men ask for nudes""
Correction. Pussy ass bitches ask for nudes. Real men are out there working for women &amp; actually h&#8230;",1
185,RT @littlecball: You're jealous bitch,1
186,"RT @scaffoldjocky: I'll never smoke weed with Willy again. He invited that hick, Toby Keith, and I fucking hate that mongoloid!",1
187,Niggas already acting like bitches so why not get a real bitch right? Hell if you gone act like a pussy I rather just have one. Shit.,1
188,Bad bitch http://t.co/XSpkccaypi,1
189,RT @macklemore: I feel bad for all the homies that suffer from canker sores on the reg. those bitches hinder the spirit,1
190,@XANAXDREAMS &#128557;&#128557;&#128557;&#128557; about the beanies but steal my description but u aren't salty or fake,2
191,@Alejandro_Bihhh @CapoDaAssHole so y'all niggaz ain't never listen to no slow shit with a bitch,1
192,"I got something for your ass, keep thinking I'm pussy",1
193,@kaaaytate do it pussy,1
194,"I will literally never get home, this shit is retarded",1
195,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z,1
196,@Evan_P_Grant I can only hope Charlie Strong. #UTcoach,2
197,RT @TheSchwagQueen: Niggas be in your messages like &#128536;&#128141;&#128149;&#128166;&#128272; &amp; be on Twitter like fuck bitches &#9994;&#128299;&#128184;Come on nigga which one you gone be Drake or&#8230;,1
198,RT @DrummerKid0328: You prolly don't like me niggah I don't really give a fuck how you feel &#128175;,1
199,Bring a niggah some icecream,1
200,"Y'all bitches be coming up with some dumb shit... What the fuck is ""fleek""? &#128529;",1
201,RT @__Junebugg: @VoiceOfDStreetz hell yea save money like a hoe,1
202,Walk in the party boot up yo hoe,1
203,dodgerofzion asked: A giant green rooster walks in carrying a tray of brownies. You may have a brownie in... http://t.co/Rn0sWWuIq9,2
204,Because idk if your still tryna get with her again or not?... &#8212; bitch i might be http://t.co/FPJQpcH99K,1
205,bitch ass arod or shorty dont hit me back up,1
206,@kieffer_jason bitch let's fight today where you at or are you going to bitch up again. I think your going to bitch up again,1
207,"RT @_kourtne: don't try nd play me, I'll hoe u harder &#128514;&#128076;",1
208,@TedNugent Why werent you so gung ho when you got drafted instead of shitting yourself? You seem like another Repcon Chicken hawk..,1
209,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,2
210,RT @oliviadesanfoot: this is very annoying to me im gonna vomit out of annoyance bc i am a little bitch,1
211,@__hannerr__ you're a faggot,0
212,@CassiusClay_232 who all in that hoe,1
213,"@JustFemaIe @CheatingAdvice 
Where the fuck were you this summer bitch?",1
214,"RT @JennyJohnsonHi5: Just when I thought Justin Bieber couldn't be anymore of a pussy, he gets arrested in Canada for fighting a person who&#8230;",1
215,An if u aint a hoe get up out my trap hoooouusssee!!!!,1
216,this one bitch dont feel the same no more an henny dont really kill the pain no moree,1
217,"RT @BloggerBoxing: ""No matter where you go, there's always an asshole wearing a Yankees cap.""

-@Sounds_good_bro http://t.co/TbgyIkpv1E",1
218,"RT @OhYouNanciHuh: Talmbout ""I graduate next month"" word? Congrats! What in? ""safe food handling"" bitch...if you don't flee from me with th&#8230;",1
219,"@caitnicole3 I'm not sure, I'm a broke nig &#128542;",1
220,Islamic Jihadis run away to Pakistan @PureMonotheist @BemetOr8 #UniteBlue,2
221,@discordianslip I hope my fuzzy head doesnt tickle too much.,2
222,@ameriC00N @joeylattime Christian keep laughing and me and him will fuck u up instead pussy bitch,1
223,@_Leeyoo what niggah,1
224,RT @taysymonee: Some of you hoes got so much to say with so little&#128134;,1
225,&#8220;@MoneyYoung They not evn hoes in silence anymore&#8221;proud of it .... then want respect,1
226,@_TajMahal_ @_El_Padrino__ @AbellaXXX I'm lmao fa real cuz I really saw her throw dat bitch in a circle lol,1
227,"RT @IEatHeartsBitch: If you tell her the dick good she gone wanna try, tell her it's wack she gone wanna see for herself. A hoe gone be a h&#8230;",1
228,#RuinADessert @midnight Fairy Queen. nomg&gt; I fucked #Obama panties again...............,1
229,praying for a bitch,1
230,@TheMayorMatt the early bearded man gets the clam ? #herkfacts,2
231,She said pop can u make it rain I said bitch I'm a water bearer I bring da flood I'll make you drown,1
232,I love fat bitches,1
233,Monkey see monkey do really Abu,2
234,@cleggzta Ho ho ho.,2
235,"$60 torch down the drain cause either I was to high and lost it or one of my ""niggas"" finessed that hoe fuckkkkk ittt",1
236,Ima kill cay &#128514;&#128557; ugh she stay on my last nerve but I love that's funccy bitch,1
237,She feelin a young niggah,1
238,@TeamMarlo dumb nigger,1
239,RT @kooleyCobain: You can't find what you lookin for cuz you too busy likin 2 or 3 bitches at a time and all the same.,1
240,@prtini Yes. And the @Yankees. And stalking weird people. SO MANY THINGS. #pr20chat,2
241,RT @Hoes_LoveMe: These hoes like niggas that spend money not talk about it,1
242,"@Furrystoat For the record #NoHomo but don't care who is unless I gotta see it.. same with every sexuality even birds, dogs.. what not.",2
243,RT @JHazeThaGod: You other niggas a call up a bitch to fight a bitch naw not me I'm whomp that trick so she can feel where I'm coming from,0
244,RT @CurrenSy_Spitta: I never bought a bitch....,1
245,Never seen a pussy he didn't like.,1
246,"@LandRoverUSA Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions!",2
247,The world will be a better place when bitches like her dies lonely http://t.co/vj45zL1zKF,1
248,Look at this fucking kaffirs hairdo. Only a nigger http://t.co/lmWqJ1EtOa,1
249,In two months tho hoe,1
250,You need a nicca like me to bring that freak outta you,1
251,IM our here filling these hoes jaw side,1
252,&#8220;@JLewyville: I should be the Global Ambassador of SOMETHING!!! I put ppl on&#8221; des nuts hoe ahh nigga,1
253,RT @WOWFoodPics: Oreo Shake http://t.co/YE22nl8bsE,2
254,@white_thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,0
255,I'm just not going to be a bitch to you because we don't speak for reasons. It was a decision and it's done and over with why start shit?,1
256,"RT @carterazoo: My nephew on Adam Rose: ""I bet he ain't got no hoes though.""",1
257,"RT @ShxtWesleySays: ""Let me put my kids up in ya mouth bitch. I'ma turn this shit into a foster home.""",1
258,"Not sure why #teabaggers would care about Nelson Mandela, being that he's one of 'them' if you know what I mean. #teaparty #tcot",2
259,I must be a bitch,1
260,"RT @GuyCodes: Scientists recently discovered that bitches, do in fact, be trippin'.",1
261,@MakeSamProud : stfu hoe &#128514;&#128514;&#128514;,1
262,@kathleen_herne Stink should shut his hole &amp; just perform his tricks like a good trained monkey,2
263,RT @LongestMonday: I aint got no problem chicks goin on vacay to the states to be hoes. Just declare ya AIDS at the border when ya come back,1
264,RT @TheVoiceOfMiami: If you got to have every hoe you see you a weak nigga...,1
265,RT @alec_myers12: All I want for valentines day is a big booty hoe.,1
266,They thought I wouldn't make it pussy nigga we made it,1
267,@kieffer_jason bitch I have a phone stfu talking don't worry about me just make sure you show up,1
268,U wondering why I'm not answering I'm wondering where my money at niggas act like bitches these days,1
269,RT @DerekIsNormal: A bitch is wearing a scarf today! I loves me a scarf.,1
270,"Idk about yall, but i loves me a thirsty bitch. Atleast they not afraid to peruse a nigga",1
271,Horny cougar gets two cocks shoved in her&#160;pussy http://t.co/wYF4ew32hF,1
272,"RT @janbaloch45: Pakistani Christian Couple burnt alive in Kasur Punjab http://t.co/JRxpbsL05Y
@veritaz @marvisirmed 
@Goshno @AliyaNazki &#8230;",2
273,"RT @MsRock4Ever: bitch mcconnell has been a 30-year parasite and we can not afford him any longer. @VoteBlue, Vote @AlisonForKY",1
274,Only ounces and up niggah,1
275,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1
276,"@chanelisabeth well you're a first class bitch. So go on with your bitch life, bitch",1
277,Traffic in the gables &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,2
278,Y'all hoes love everyday,1
279,RT @CauseWereGuys: We all know a hoe like this http://t.co/NvlN1xlInW,1
280,Watch my Twitter bitch,1
281,Yo @KayciMalynn I miss you. Ya cunt.,1
282,RT @_amaaari: bitches be fake af &#128514;&#128581;,1
283,@ChristyMack fugly bitch john will dump ur ratchet ass,1
284,"RT @WhenRappersaids: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/wF&#8230;",1
285,RT @MzS0FiBadAzz: @j_rellz only bitch round here is the one I&#8217;m tweet&#8217;n &#128564;&#128564;&#128564;&#128564;,1
286,Khloee's new backpack that we colored last night! &#127912; http://t.co/tYndjCsq,2
287,RT @ClicquotSuave: nigg complaining about a journal and bitches half naked,1
288,Nigga be a straight gentleman then he speaks bitch comes with that funky ass attitude then the gentleman shit goes out the window.,1
289,"King, TI vs tip and that troubleman albums all trash.",2
290,"' O M G you like stop controllin me , I'm like bitch fuck you thought ? She like niggah fuck you mean !",1
291,RT @digiflorals: I don't get why people bitch about an unfollow when you never talked to them,1
292,Happy this nigga nick old I only like red bones ass is watching this.,1
293,Charlie is an ol' hatin' fool! #Scandal,1
294,@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,0
295,Holder&#8217;s Justice Department Isn&#8217;t Interested in the Facts in #Ferguson http://t.co/7vH4tyPMht These race hustling bitches are DISGRACEFUL.,0
296,The Perfect Gift for the Jihadi on Your Shopping List http://t.co/YbcsutdGMw http://t.co/nNwums32b4,2
297,RT @Jadelovescats: Cuddle with me and tell me I'm beautiful I'm a needy bitch,1
298,There's a special place in hell for people who slam on their brakes for yellow lights &#128532;&#128299;,2
299,ion trust these bitches and ion trust these niggas!!!,1
300,I'm too much of a bitch to say anything about that,1
301,New boss said my buttons on my shirt can't be white. So I colored them hoes with a sharpie &#128514; glossy,1
302,this bitch think he care about her talents,1
303,"Alarm set, early bird n all that. Night all xx",2
304,"RT @Hermit_Thrush: I suck a giant dick, i suck a skinny dick &#9835; i suck a faggot dick, i suck a nigger dick &#9835; i suck the dicks that remind me&#8230;",1
305,i'd rather sit alone than fuck w/ iffy bitches.,1
306,"RT @mitchsunderland: Ezra Miller, an openly queer male, is playing the Flash, making him the first openly queer male to play a lead superhe&#8230;",1
307,@Righteouz_ lmfao!!!!! I remember all the rednecks in my school with that shit lol,1
308,RT @BasedPaco: lol Lebron bitch ass always making a spectacle look at me ass nigga,1
309,RT @3High_Tae: Bruh this bitch booty so flat that its muscular &#128128;&#128128;&#128128; http://t.co/8vG3MAtceU,1
310,"RT @iadorewomen_: #IfWeDate 
Get rid of Your Ex's 
&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;

Get rid of Your hoes
&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;

We don't Need No interference
&#128525;&#128145;&#128107;&#128141;&#128536;&#128143;&#10084;&#65039;&#128175;",1
311,RT @ShamarGotHoes: These hoes... Smh http://t.co/PRr9JkrBSp,1
312,&#8220;@eternalhbic: &#8220;@HalfJewish: Stills get no pussy** http://t.co/6uOWecbUQO&#8221; he's jus being rational&#8221; a fag,1
313,@eze12373 I'll come rape your wife bitch boy,1
314,RT @MostDope6995: That shit could break you down if you lose a good girl I guess you need a bad bitch to come around and make it up,1
315,I was in the club and there was this good lookin bitch. ..she had gold teeth tho. I was confused smh,1
316,@G27Status Them stop being a bitch and do it,1
317,"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",2
318,I'm so mad cause hoes think it's funny,1
319,RT @flemingryan5: @SavannaaSanford hoe,1
320,@justinbieber nice wigger stache,1
321,"Nuh uh RT @MissSneed: still counts. RT @WeavusChrist: I&#8217;m only a hoe on twitter, bae",1
322,Yall out here fuckin other women's men risking ya life &amp; freedom but I'm out here single &amp; dolo with no bitch you gotta worry about.,1
